8:14:54 PM  [main] 	Initializing Control Panel
8:14:54 PM  [main] 	Windows Version:  Home  64-bit
8:14:54 PM  [main] 	XAMPP Version: ???
8:14:54 PM  [main] 	Control Panel Version: 3.2.4  [ Compiled: Jun 5th 2019 ]
8:14:54 PM  [main] 	You are not running with administrator rights! This will work for
8:14:54 PM  [main] 	most application stuff but whenever you do something with services
8:14:54 PM  [main] 	there will be a security dialogue or things will break! So think 
8:14:54 PM  [main] 	about running this application with administrator rights!
8:14:54 PM  [main] 	XAMPP Installation Directory: "c:\users\pta\desktop\"
8:14:54 PM  [main] 	Checking for prerequisites
8:15:21 PM  [main] 	All prerequisites found
8:15:21 PM  [main] 	Initializing Modules
8:15:21 PM  [Apache] 	Problem detected: Apache Not Found!
8:15:21 PM  [Apache] 	Disabling Apache buttons
8:15:21 PM  [Apache] 	Run this program from your XAMPP root directory!
8:15:21 PM  [mysql] 	Problem detected: MySQL Not Found!
8:15:21 PM  [mysql] 	Disabling MySQL buttons
8:15:21 PM  [mysql] 	Run this program from your XAMPP root directory!
8:15:21 PM  [filezilla] 	Problem detected: FileZilla Not Found!
8:15:21 PM  [filezilla] 	Disabling FileZilla buttons
8:15:21 PM  [filezilla] 	Run this program from your XAMPP root directory!
8:15:21 PM  [mercury] 	Problem detected: Mercury Not Found!
8:15:21 PM  [mercury] 	Disabling Mercury buttons
8:15:21 PM  [mercury] 	Run this program from your XAMPP root directory!
8:15:21 PM  [Tomcat] 	Problem detected: Tomcat Not Found!
8:15:21 PM  [Tomcat] 	Disabling Tomcat buttons
8:15:21 PM  [Tomcat] 	Run this program from your XAMPP root directory!
8:15:21 PM  [Tomcat] 	Problem detected: Required Tool catalina_start.bat Not Found!
8:15:21 PM  [Tomcat] 	Problem detected: Required Tool catalina_stop.bat Not Found!
8:15:21 PM  [Tomcat] 	Problem detected: Required Tool catalina_service.bat Not Found!
8:15:21 PM  [main] 	Starting Check-Timer
8:15:21 PM  [main] 	Control Panel Ready
11:52:31 PM  [main] 	Deinitializing Modules
11:52:31 PM  [main] 	Deinitializing Control Panel

